Dataset file created at 638600759163713112...
Key	|Value
'
'	|'1'
' '	|'2'
'!'	|'3'
'''	|'4'
','	|'5'
'.'	|'6'
':'	|'7'
';'	|'8'
'?'	|'9'
'A'	|'10'
'B'	|'11'
'C'	|'12'
'F'	|'13'
'I'	|'14'
'L'	|'15'
'M'	|'16'
'N'	|'17'
'O'	|'18'
'R'	|'19'
'S'	|'20'
'W'	|'21'
'Y'	|'22'
'a'	|'23'
'b'	|'24'
'c'	|'25'
'd'	|'26'
'e'	|'27'
'f'	|'28'
'g'	|'29'
'h'	|'30'
'i'	|'31'
'j'	|'32'
'k'	|'33'
'l'	|'34'
'm'	|'35'
'n'	|'36'
'o'	|'37'
'p'	|'38'
'r'	|'39'
's'	|'40'
't'	|'41'
'u'	|'42'
'v'	|'43'
'w'	|'44'
'y'	|'45'
'z'	|'46'
