position,song,artist,genre,mood
1,Ella Baila Sola,Eslabon Armado,Pop,Energetic
2,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,Reggaeton,Upbeat
4,Cupid - Twin Ver.,FIFTY FIFTY,Pop,Romantic
5,Flowers,Miley Cyrus,Pop,Romantic
6,Daylight,David Kushner,Pop,Upbeat
7,Kill Bill,SZA,Soundtrack,Intense
8,Tattoo,Loreen,Pop,Melancholic
9,As It Was,Harry Styles,Pop,Melancholic
10,TQG,KAROL G,Pop,Energetic
11,Cha Cha Cha,Käärijä,Latin,Upbeat
12,Classy 101,Feid & Young Miko,Pop,Refined
13,Acróstico,Shakira,Latin,Energetic
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Trap,Creepy
15,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Melancholic
16,BESO,ROSALÍA & Rauw Alejandro,Reggaeton,Romantic
17,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Romantic
18,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
19,Calm Down (with Selena Gomez),Rema,Pop,Relaxed
20,Yandel 150,Yandel,Reggaeton,Energetic
21,El Azul,Junior H & Peso Pluma,Narcocorrido,Relaxed
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Pop,Deceptive
23,Anti-Hero,Taylor Swift,Rock,Defiant
24,Die For You,The Weeknd,Pop,Intense
25,I Wanna Be Yours,Arctic Monkeys,Indie,Romantic
26,All My Life (feat. J. Cole),Lil Durk & J. Cole,Hip-hop,Reflective
27,Last Night,Morgan Wallen,Pop,Energetic
28,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Sad
29,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Hip-hop,Energetic
30,Here With Me,d4vd,Pop,Lonely
31,Angels Like You,Miley Cyrus,Pop,Hopeful
32,golden hour,JVKE,Country,Euphoric
33,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
34,Like Crazy,Jimin,Pop,Passionate
35,Moonlight,Kali Uchis,Pop,Romantic
36,Cruel Summer,Taylor Swift,Pop,Energetic
37,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Reggaeton,Energetic
38,Unholy (feat. Kim Petras),Sam Smith,Pop,Dark
39,Another Love,Tom Odell,Indie,Melancholic
40,Starboy,The Weeknd,Pop,Dark
41,Por las Noches,Peso Pluma,Pop,Melancholic
42,Queen of Kings,Alessandra,Pop,Energetic
43,Hey Mor,Ozuna,Pop,Energetic
44,People,Libianca,Pop,Energetic
45,I Ain't Worried,OneRepublic,Hip-hop,Confident
46,La Bachata,Manuel Turizo,Latin,Romantic
47,Mockingbird,Eminem,Country,Melancholy
48,Frágil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
49,FLOWER,JISOO,Pop,Melancholic
50,El Gordo Trae El Mando,Chino Pacas,Reggaeton,Energetic
1,Ella Baila Sola,Eslabon Armado,Pop,Joyful
2,un x100to,Grupo Frontera & Bad Bunny,Hip-hop,Sad
3,Cupid - Twin Ver.,FIFTY FIFTY,Pop,Romantic
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,Reggaeton,Energetic
5,Flowers,Miley Cyrus,Pop,Energetic
6,Daylight,David Kushner,Pop,Euphoric
7,Kill Bill,SZA,Soundtrack,Intense
8,As It Was,Harry Styles,Pop,Melancholic
9,Tattoo,Loreen,Pop,Melancholic
10,TQG,KAROL G,Pop,Energetic
11,Acróstico,Shakira,Pop,Energetic
12,Classy 101,Feid & Young Miko,Classical,Elegant
13,Cha Cha Cha,Käärijä,Latin,Upbeat
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,R&B,Eerie
15,BESO,ROSALÍA & Rauw Alejandro,Reggaeton,Sensual
16,Die For You (with Ariana Grande) - Remix,The Weeknd,Pop,Romantic
17,Calm Down (with Selena Gomez),Rema,Pop,Relaxing
18,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Melancholic
19,Yandel 150,Yandel,Reggaeton,Energetic
20,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
21,El Azul,Junior H & Peso Pluma,Narcocorrido,Melancholic
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Pop,Deceptive
23,Anti-Hero,Taylor Swift,Rock,Brooding
24,Die For You,The Weeknd,Rock,Passionate
25,I'm Good (Blue),David Guetta & Bebe Rexha,Pop,Sad
26,Last Night,Morgan Wallen,Indie,Energetic
27,I Wanna Be Yours,Arctic Monkeys,Hip-hop,Romantic
28,All My Life (feat. J. Cole),Lil Durk & J. Cole,Pop,Energetic
29,Angels Like You,Miley Cyrus,Pop,Hopeful
30,golden hour,JVKE,Rap,Euphoric
31,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,Pop,Energetic
32,Here With Me,d4vd,Pop,Emotional
33,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,Country,Energetic
34,Another Love,Tom Odell,Pop,Melancholic
35,Moonlight,Kali Uchis,Pop,Dreamy
36,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,Pop,Hopeful
37,Unholy (feat. Kim Petras),Sam Smith,Pop,Dark
38,Starboy,The Weeknd,Reggaeton,Dark
39,Cruel Summer,Taylor Swift,Pop,Intense
40,Like Crazy,Jimin,Indie,Energetic
41,People,Libianca,Pop,Energetic
42,Hey Mor,Ozuna,Pop,Energetic
43,I Ain't Worried,OneRepublic,Pop,Confident
44,Por las Noches,Peso Pluma,Pop,Melancholic
45,La Bachata,Manuel Turizo,Pop,Romantic
46,Mockingbird,Eminem,Hip-hop,Nostalgic
47,Queen of Kings,Alessandra,Latin,Epic
48,Yellow,Coldplay,Rap,Energetic
49,Frágil,Yahritza Y Su Esencia & Grupo Frontera,Pop,Melancholic
50,El Gordo Trae El Mando,Chino Pacas,Pop,Energetic
1,Ella Baila Sola,Eslabon Armado,Reggaeton,Happy
2,un x100to,Grupo Frontera & Bad Bunny,Pop,Energetic
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,Rap,Upbeat
4,Cupid - Twin Ver.,FIFTY FIFTY,Pop,Romantic
5,Flowers,Miley Cyrus,Reggaeton,Romantic
6,Daylight,David Kushner,Pop,Hopeful
7,Kill Bill,SZA,Pop,Intense
8,As It Was,Harry Styles,Soundtrack,Melancholic
9,Acróstico,Shakira,Rock,Happy
10,TQG,KAROL G,Pop,Energetic
11,Classy 101,Feid & Young Miko,Pop,Elegant
12,Tattoo,Loreen,Latin,Melancholic
13,BESO,ROSALÍA & Rauw Alejandro,Pop,Romantic
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,Latin,Eerie
15,Die For You (with Ariana Grande) - Remix,The Weeknd,Hip-hop,Passionate
16,Yandel 150,Yandel,Latin,Energetic
17,Calm Down (with Selena Gomez),Rema,Pop,Relaxed
18,See You Again (feat. Kali Uchis),Tyler The Creator,Pop,Nostalgic
19,PRC,Peso Pluma & Natanael Cano,Pop,Energetic
20,El Azul,Junior H & Peso Pluma,Reggaeton,Melancholic
21,Cha Cha Cha,Käärijä,Pop,Upbeat
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,Ranchera,Deceptive
23,Angel Pt. 1,Fast & Furious: The Fast Saga,Pop,Melancholic
24,Anti-Hero,Taylor Swift,Rock,Energetic
25,Like Crazy,Jimin,Pop,Passionate
26,Last Night,Morgan Wallen,Pop,Melancholic
