position,song,artist,popularity,album_type,total_track,release_date
1,Ella Baila Sola,Eslabon Armado,89,album,16,28-04-2023
2,un x100to,Grupo Frontera & Bad Bunny,99,single,1,17-04-2023
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
4,Cupid - Twin Ver.,FIFTY FIFTY,97,single,3,24-02-2023
5,Flowers,Miley Cyrus,91,album,13,10-03-2023
6,Daylight,David Kushner,96,single,1,14-04-2023
7,Kill Bill,SZA,94,album,23,08-12-2022
8,Tattoo,Loreen,89,single,1,25-02-2023
9,As It Was,Harry Styles,92,album,13,20-05-2022
10,TQG,KAROL G,96,album,17,24-02-2023
11,Cha Cha Cha,Käärijä,86,single,1,17-01-2023
12,Classy 101,Feid & Young Miko,95,single,1,31-03-2023
13,Acróstico,Shakira,81,single,1,11-05-2023
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
15,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
16,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
17,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
18,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
19,Calm Down (with Selena Gomez),Rema,78,album,22,27-04-2023
20,Yandel 150,Yandel,90,album,17,13-01-2023
21,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
23,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
24,Die For You,The Weeknd,91,album,18,24-11-2016
25,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
26,All My Life (feat. J. Cole),Lil Durk & J. Cole,84,single,1,12-05-2023
27,Last Night,Morgan Wallen,89,album,36,03-03-2023
28,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
29,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,single,1,24-11-2022
30,Here With Me,d4vd,94,single,1,22-09-2022
31,Angels Like You,Miley Cyrus,91,album,15,27-11-2020
32,golden hour,JVKE,90,album,12,23-09-2022
33,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
34,Like Crazy,Jimin,93,single,6,24-03-2023
35,Moonlight,Kali Uchis,86,album,15,03-03-2023
36,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
37,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,95,single,1,11-01-2023
38,Unholy (feat. Kim Petras),Sam Smith,86,album,13,27-01-2023
39,Another Love,Tom Odell,63,album,10,17-06-2013
40,Starboy,The Weeknd,93,album,18,25-11-2016
41,Por las Noches,Peso Pluma,93,single,1,11-06-2021
42,Queen of Kings,Alessandra,85,single,1,09-01-2023
43,Hey Mor,Ozuna,91,album,18,07-10-2022
44,People,Libianca,92,single,1,06-12-2022
45,I Ain't Worried,OneRepublic,55,album,18,15-02-2023
46,La Bachata,Manuel Turizo,86,album,15,17-03-2023
47,Mockingbird,Eminem,92,album,23,12-11-2004
48,Frágil,Yahritza Y Su Esencia & Grupo Frontera,89,single,1,07-04-2023
49,FLOWER,JISOO,86,single,2,31-03-2023
50,El Gordo Trae El Mando,Chino Pacas,92,single,1,27-01-2023
1,Ella Baila Sola,Eslabon Armado,89,album,16,28-04-2023
2,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
3,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
4,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
5,Flowers,Miley Cyrus,91,album,13,10-03-2023
6,Daylight,David Kushner,97,single,1,14-04-2023
7,Kill Bill,SZA,94,album,23,08-12-2022
8,As It Was,Harry Styles,92,album,13,20-05-2022
9,Tattoo,Loreen,90,single,1,25-02-2023
10,TQG,KAROL G,96,album,17,24-02-2023
11,Acróstico,Shakira,83,single,1,11-05-2023
12,Classy 101,Feid & Young Miko,95,single,1,31-03-2023
13,Cha Cha Cha,Käärijä,87,single,1,17-01-2023
14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,album,15,02-12-2022
15,BESO,ROSALÍA & Rauw Alejandro,96,single,3,24-03-2023
16,Die For You (with Ariana Grande) - Remix,The Weeknd,88,album,21,14-03-2023
17,Calm Down (with Selena Gomez),Rema,79,album,22,27-04-2023
18,See You Again (feat. Kali Uchis),Tyler The Creator,94,album,14,21-07-2017
19,Yandel 150,Yandel,90,album,17,13-01-2023
20,PRC,Peso Pluma & Natanael Cano,96,single,1,23-01-2023
21,El Azul,Junior H & Peso Pluma,95,single,1,10-02-2023
22,Boy's a Liar Pt. 2,PinkPantheress & Ice Spice,96,single,2,03-02-2023
23,Anti-Hero,Taylor Swift,94,album,13,21-10-2022
24,Die For You,The Weeknd,91,album,18,24-11-2016
25,I'm Good (Blue),David Guetta & Bebe Rexha,94,single,2,26-08-2022
26,Last Night,Morgan Wallen,89,album,36,03-03-2023
27,I Wanna Be Yours,Arctic Monkeys,94,album,12,09-09-2013
28,All My Life (feat. J. Cole),Lil Durk & J. Cole,85,single,1,12-05-2023
29,Angels Like You,Miley Cyrus,91,album,15,27-11-2020
30,golden hour,JVKE,91,album,12,23-09-2022
31,AMG,Natanael Cano & Peso Pluma & Gabito Ballesteros,95,single,1,24-11-2022
32,Here With Me,d4vd,94,single,1,22-09-2022
33,Shakira: Bzrp Music Sessions Vol. 53,Bizarrap & Shakira,95,single,1,11-01-2023
34,Another Love,Tom Odell,64,album,10,17-06-2013
35,Moonlight,Kali Uchis,87,album,15,03-03-2023
36,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,single,1,22-04-2022
37,Unholy (feat. Kim Petras),Sam Smith,86,album,13,27-01-2023
38,Starboy,The Weeknd,93,album,18,25-11-2016
39,Cruel Summer,Taylor Swift,92,album,18,23-08-2019
40,Like Crazy,Jimin,93,single,6,24-03-2023
41,People,Libianca,92,single,1,06-12-2022
42,Hey Mor,Ozuna,91,album,18,07-10-2022
43,I Ain't Worried,OneRepublic,56,album,18,15-02-2023
44,Por las Noches,Peso Pluma,93,single,1,11-06-2021
45,La Bachata,Manuel Turizo,86,album,15,17-03-2023
46,Mockingbird,Eminem,92,album,23,12-11-2004
47,Queen of Kings,Alessandra,86,single,1,09-01-2023
48,Yellow,Coldplay,91,album,10,10-07-2000
49,Frágil,Yahritza Y Su Esencia & Grupo Frontera,89,single,1,07-04-2023
50,El Gordo Trae El Mando,Chino Pacas,92,single,1,27-01-2023
1,Ella Baila Sola,Eslabon Armado,90,album,16,28-04-2023
2,un x100to,Grupo Frontera & Bad Bunny,100,single,1,17-04-2023
3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,single,2,17-03-2023
4,Cupid - Twin Ver.,FIFTY FIFTY,98,single,3,24-02-2023
5,Flowers,Miley Cyrus,91,album,13,10-03-2023
6,Daylight,David Kushner,97,single,1,14-04-2023
7,Kill Bill,SZA,94,album,23,08-12-2022
8,As It Was,Harry Styles,92,album,13,20-05-2022
9,Acróstico,Shakira,85,single,1,11-05-2023
